ticker,name
BTC-USD,Bitcoin
ETH-USD,Ethereum
USDT-USD,Tether
XRP-USD,XRP
SOL-USD,Solana
BNB-USD,BNB
USDC-USD,USDC
DOGE-USD,Dogecoin
ADA-USD,Cardano
STETH-USD,Lido Staked Ether
TRX-USD,TRON
WBTC-USD,Wrapped Bitcoin
LINK-USD,Chainlink
WSTETH-USD,Wrapped stETH
AVAX-USD,Avalanche
XLM-USD,Stellar
SUI-USD,Sui
TON-USD,Toncoin
HBAR-USD,Hedera
LEO-USD,LEO Token
SHIB-USD,Shiba Inu
USDS-USD,USDS
BGB-USD,Bitget Token
LTC-USD,Litecoin
HYPE-USD,Hyperliquid
WETH-USD,WETH
DOT-USD,Polkadot
BCH-USD,Bitcoin Cash
USDE-USD,Ethena USDe
OM-USD,MANTRA
UNI-USD,Uniswap
WEETH-USD,Wrapped eETH
ONDO-USD,Ondo
WBT-USD,WhiteBIT Coin
PEPE-USD,Pepe
NEAR-USD,NEAR Protocol
XMR-USD,Monero
AAVE-USD,Aave
MNT-USD,Mantle
DAI-USD,Dai
TRUMP-USD,Official Trump
APT-USD,Aptos
ICP-USD,Internet Computer
SUSDS-USD,sUSDS
ETC-USD,Ethereum Classic
OKB-USD,OKB
VET-USD,VeChain
TAO-USD,Bittensor
GT-USD,Gate
CRO-USD,Cronos
POL-USD,POL (ex-MATIC)
CBBTC-USD,Coinbase Wrapped BTC
ALGO-USD,Algorand
KAS-USD,Kaspa
RENDER-USD,Render
TKX-USD,Tokenize Xchange
JUP-USD,Jupiter
FIL-USD,Filecoin
FET-USD,Artificial Superintelligence Alliance
ATOM-USD,Cosmos Hub
ARB-USD,Arbitrum
LBTC-USD,Lombard Staked BTC
FDUSD-USD,First Digital USD
FTN-USD,Fasttoken
WETH-USD,Binance-Peg WETH
ENA-USD,Ethena
BNSOL-USD,Binance Staked SOL
RSETH-USD,Kelp DAO Restaked ETH
SOLVBTC-USD,Solv Protocol SolvBTC
KCS-USD,KuCoin
TIA-USD,Celestia
RAY-USD,Raydium
LDO-USD,Lido DAO
XDC-USD,XDC Network
OP-USD,Optimism
IMX-USD,Immutable
FLR-USD,Flare
INJ-USD,Injective
MOVE-USD,Movement
RETH-USD,Rocket Pool ETH
STX-USD,Stacks
S-USD,Sonic (prev. FTM)
THETA-USD,Theta Network
NEXO-USD,NEXO
BONK-USD,Bonk
QNT-USD,Quant
METH-USD,Mantle Staked Ether
GRT-USD,The Graph
WLD-USD,Worldcoin
USD0-USD,Usual USD
DEXE-USD,DeXe
JASMY-USD,JasmyCoin
SOLVBTC.BBN-USD,Solv Protocol SolvBTC.BBN
MSOL-USD,Marinade Staked SOL
SEI-USD,Sei
GALA-USD,GALA
